code,label_en
F63_F64_F65,"Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits"
F63_LE,Pension entitlements in closing balance sheet
F63_LS,Pension entitlements in opening balance sheet
F64,Claims of pension funds on pension managers
F64_F65,Claims of pension funds on pension managers and entitlements to non-pension benefits
F65,Entitlements to non-pension benefits
F66,Provisions for calls under standardised guarantees
F6_NAC,"Insurance, pensions and standardised guarantees, of which in national currency"
F7,Financial derivatives and employee stock options
F71,Financial derivatives
F711,Options
F712,Forwards
F71K_ORWB,"Financial transactions included in the working balance - other financial transactions (+/-), of which: net settlements under swap contracts (+/-)"
F71_ADJ_LIAB,Adjustments: net incurrence (-) of liabilities in financial derivatives
F71_ASS,Net acquisition (+) of financial assets - financial derivatives
F72,Employee stock options
F7_NAC,"Financial derivatives and employee stock options, of which in national currency"
F8,Other accounts receivable/payable
F81,Trade credits and advances
F81_FDI,"Trade credits and advances, of which foreign direct investment"
F89,"Other accounts receivable/payable, excluding trade credits and advances"
F89_FDI,"Other accounts receivable/payable, excluding trade credits and advances, of which foreign direct investment"
F8_ADJ_LIAB,Adjustments: net incurrence (-) of other accounts payable
F8_ASS,Net acquisition (+) of financial assets - other accounts receivable (+)
F8_ASS_ORWB,Other accounts receivable (+) included in the working balance
F8_FDI,"Other accounts receivable/payable, of which foreign direct investment"
F8_LIAB_ORWB,Other accounts payable (-) included in the working balance
F8_NAC,"Other accounts receivable/payable, of which in national currency"
FGO_FC,"One-off guarantees - total stock of guarantees, excluding debt assumed by government, memo item: financial corporations"
FGO_PC,"One-off guarantees - total stock of guarantees, excluding debt assumed by government, of which: public corporations"
FGO_T,"One-off guarantees - total stock of guarantees, excluding debt assumed by government"
FGST,Standardised guarantees - total stock of government guarantees
FGT,Total stock of government guarantees
FNDL_ORWB,"Financial transactions included in the working balance - other financial transactions (+/-), of which: transactions in debt liabilities (+/-)"
FNDX_ORWB,Financial transactions included in the working balance - other financial transactions (+/-)
FN_ASS,"Net acquisition (+) of financial assets - other financial assets (F.1, F.6)"
FT,Financial transactions included in the working balance
FV_ADJ_LIAB,"Adjustments: net incurrence (-) of other liabilities (F.1, F.5, F.6  and F.72)"
F_ASS,Net acquisition (+) of financial assets
F_FDI,"Total financial assets/liabilities, of which foreign direct investment"
F_GD,Transactions in Maastricht debt instruments at market value
F_NAC,"Total financial assets/liabilities, of which in national currency"
F_OTH,Other assets/other liabilities
F_TR,Net acquisition of financial assets/net incurrence of liabilities
GD,Government consolidated gross debt
GD_CH,Change in consolidated gross debt
GD_CTB,Subsector contribution to general government gross debt
GD_F2,Government consolidated gross debt at face value - currency and deposits
GD_F21,Government consolidated gross debt at face value - currency
GD_F22,Government consolidated gross debt at face value - transferable deposits
GD_F29,Government consolidated gross debt at face value - other deposits
GD_F3,Government consolidated gross debt at face value - debt securities
GD_F31,Government consolidated gross debt at face value - short-term debt securities
GD_F32,Government consolidated gross debt at face value - long-term debt securities
GD_F32Z,"Government consolidated gross debt at face value - long-term debt securities, of which: zero-coupon bonds"
GD_F4,Government consolidated gross debt at face value - loans
GD_F41,Government consolidated gross debt at face value - short-term loans
